id,turker
1,
2,None
3,ANZZ9RHXAFTSH
4,A3HUKKV3NX61EX
5,A2DBMTN294Y1A8
6,A1RH1NL51JR9TA
7,AZBH4LJ5SL456
8,A1YGSIQI52QT9L
9,A2DNSD743W4OC2
10,A10443E11ZWEHJ
11,A3B2O3SOMXJ2OF
12,A3EB20HBTY5T84
13,A2RT9YIBRENHH2
14,A15Y73E3GBTRU9
15,A11BIQ0QEUK0UV
16,A3QZMGTVA4VO44
17,A21JFQP5MAYQO2
18,A37PZRL6X766OE
19,A27MJOV91GA8R3
20,A1P7U2ULSAE7YL
21,A2BEBSKRACN0KA
22,A91I7Y4GNUPDZ
23,A20I3A6VWC2T5C
24,A1BUYK6LXYWMLL
25,A2PEVVI6ZWJCPG
26,AHYR3RQ769YE8
27,A21SF3IKIZB0VN
28,A1J3R6RD5ZKUPX
29,A1IEPM8DJCUIOD
30,A364YTD6GZ5FA
31,AA01UCZU8OSRG
32,A36Y2QH35JWAHG
33,ACXJI8MYQG8Q7
34,A2VFN2WZ2A14IN
35,A68ZXGGMWVXUN
36,A1L3348HFKSWBJ
37,A1KZE1ZNOUQWYY
38,A1IRU9T18S5APS
39,A6CXMD955IU2G
40,AO67HSBHKPIHX
41,AQ722V7IJQMJ6
42,A26TV9G5913CEI
43,A3PT0S9986THK0
44,A3T71W88062DB7
45,A2H74STYH3PLT1
46,A1ULZMC0Y68R6K
47,A1BSROPKN9SJNZ
48,A1U83MXX9OMUC
49,AJDV1TIKSDPSZ
50,A174BCWX0VMM1B
51,A1WILVJIKAWVAC
52,APDBIXL97MEAB
53,APLQSM4J9E6LR
54,AWPT1B257M6AL
55,A16N9BG2X91YHV
56,A10NBQP7W50X1I
57,A2YBEBTOE6HJOV
58,A3RU21EY2CTU3T
59,A34ZESV383SM26
60,A39AA4R66PTWN8
61,A3AEGALX2Q1G2A
62,A3QN9CCPPTUPN6
63,A5G2OOY32URRF
64,A2KLWSLNAXJUAZ
65,A2UB9XNQPAHGPM
66,A3O5KW6W7G6EXZ
67,AFKZZEURTCR8U
68,A1NEC69R09QQKP
69,A3KI6DWNGPS1II
70,A2867ENN4N1IAZ
71,A3POLV08XTYAMD
72,A2FZE7CARM54IG
73,AVTMOUPXB5RF4
74,A2Y0MU01WPHO1W
75,A3VMJIW0DP7007
76,ALYIFKDQQ2LB4
77,ABNNX9AKIRYJ7
78,A273DS7TQWR9M1
79,A1NM7ZPZ3NH412
80,A2LVCS009DMEAT
81,A23JOQDY8X90TZ
82,A1BEODQ373LHMS
83,A79QGFH9KEJAV
84,A2954N7SOFA1WN
85,A3579N2TITA69M
86,A33TFZWRGY3ASF
87,AJR1S4APF01FN
88,A2RKSM8XPWP9YG
89,AQVP5IH2S6WCB
90,AZSNYDWLAI8QC
91,A1ZHJBHYU87Y2O
92,A3IVLB1YN1X9H9
93,A1EGJBJBFBZJBA
94,A3VRU112B7YHP2
95,A2HVUJSA0VSK4D
96,AAHY5RYKZHXGZ
97,A6T7H70ZUFURS
98,AKVMJTC081PC9
99,A2ZDQ7YVKJUV8E
100,AFG3FXABPGSZS
101,A3J20NH9P4VS4X
102,A3N6SK8HZWRJWU
103,A26MUEEDQBLO2D
104,AI71519UP16O7
105,AKZ90EFX5RU8
106,A1U8AZKMWLKAQF
107,A19UBZFVUWL1ES
108,AAX6YOEN0O2RE
109,A9ZD0LG8OUJ12
110,A3CM9TGXC5LR3D
111,A3LA5P3N3KI8U7
112,A1OI5GFTE6JUCM
113,A218IVWG2NSFR6
114,A2WA7JN5HGORA1
115,A1A1Z3SQVIEP4I
116,AI16JQPI42EKR
117,A3TUV36R7RR04T
118,A12XQHU3T1GH4U
119,A3MOCNK2SMAMMD
120,A3SBOH13CN1YGY
121,A3U99QJZAE5FSX
122,A1MV3S8UMZ4S7L
123,ARMGNUJBUW582
124,A1EZRTSWXP7LJJ
125,ATQSTDN8WGKK5
126,A38SINVLB5M1EY
127,A2ILF5DLSOSZ4P
128,A2GU601U6RJZH4
129,A4X84M4B0RUTB
130,AKLKDS34ZAGML
131,A12W7ZB2DLBBY5
132,A2HN3N1Y3LC113
133,A6IHL8R29J82Z
134,A11XUZJSGYDD1S
135,A3N5P5VO81FIJ6
136,A1U3ZD99TG1UPO
137,A2BIE2KHSETW8B
138,A9UBPUEWAMA06
139,AD4G0GILSZHLD
140,A3JNKGA2P9MUBS
141,A3U3EOGJ34KT5F
142,A1S7ZSZREB1OXG
143,A16KQYQU4DAYT
144,A5DSYVNGYLCA5
145,A2W5WSP20RCATK
146,A2B31W8L12X2YN
147,A2TTAG8NJ9EOIE
148,A2VJAAYE13IXNQ
149,A1E9VI5RSZI31F
150,A29NACQDK6WPQC
151,AQ36VLCQEE7FL
152,A239H31KBTTLAU
153,A2TKUHDA368R80
154,A1U2DJW2BLX7AK
155,A10W1LF3G9XVCA
156,A1USG7629PEUHS
157,A1BDX4IDO40QEL
158,A1YSMVAN40J0OO
159,AZE7YSINS9UNZ
160,AFDOCG0RZGSXU
161,A1C6OI7KRP6FR9
162,A1M9HUOS9S8A15
163,AJXFDG5E0YUYB
164,A3F9XJD1D8QHPA
165,A28CEFSRKBOSYT
166,A25XURW9WSG123
167,APYO09WFG87IG
168,A2CJFO19NY4T5R
169,A148GPK1FRM8GV
170,AYBMLC30XJPED
171,A2S75O867RJG0I
172,A3N1N3VNBWPFK8
173,A2JG1NAFYN2PMJ
174,ASNK0I97XE3KL
175,A3LUETNYKSGBFY
176,A15RNM75ICEC05
177,A1HZWAX6XQXIM7
178,A1YY98SJG37KSU
179,ANMXMEB55AGM6
180,A2GS41OJ2X0HJ8
181,A36QWTX7JIIDT9
182,AMHZ8D856PO3F
183,AWTBYWQ9K6B9O
184,AQJA7VZE2NV7O
185,A17T4I7TQHF2U1
186,A12J6O77R7WG93
187,A1LQRX3EN2W8U0
188,A1UMFF9PNYOT4H
189,A1IXVXZ5AYYNMJ
190,A1B4I8LO1BUHMU
191,AO6ZU0C708DGI
192,A12FFCHI91DBJV
193,A2SN5PPDJA1ZBY
194,A7IEGSS64IALQ
195,A16TFNRIUZIPTT
196,A10EDAUGQ2JLIW
197,AK297X90KRQZ2
198,A3AA6SIVHNOBWU
199,A1H5UCDL9LHEQ8
200,A2ZHFT828PSIR2
201,AIAWJKOKMOM0
202,A1D4I1QYL9713I
203,A23GB80BDI6PPL
204,A2V6SDY6C7FSYI
205,AUCDWG606O4V9
206,A3KVNVHIYT3JI8
207,A1ZV0VD22RNUYW
208,A2PDX24MIU77N5
209,A3TYQICRPHFXTG
210,AV4JL14KGRZLL
211,AWFD5ILJZQG17
212,AZJYQJOIQSZ8H
213,A1CPENXGW2SE8Q
214,A1IM9SPV7X9P6W
215,AP4FDDWBJW47O
216,A1AKLKWWMV0BUQ
217,A29006N0ICDD2Z
218,AFU00NU09CFXE
219,A3LD1G3R5NOVYH
220,A2UIRHKDQBWJEZ
221,A255Z4U24Y2SP8
222,A2X9LSQW6T3UVT
223,A32P249ZQCDR7W
224,A24F42H3K58D8A
225,A389F6DFXS6S1I
226,A2UTJEV14T6V7H
227,AVQ23YRFWZKHH
228,A2GHLQUN2E1C3R
229,A2EGMVENJCHWV6
230,A3298CNSQI60HU
231,A28SSXMVARPGIK
232,A2PR3J6Z0LBT1R
233,A3PJYOPZCXPTJN
234,A2S6K4MHXNSUPY
235,A1NA5EJO2BXBQA
236,A16TAQXP5BIA4Z
237,A3MF9JPIQQM7BC
238,A3CTRPYM593S4J
239,A18DGTX35INZIJ
240,AMDW925P9IY2O
241,A3B0AB2C9SIHN
242,A1A5IB9XGETODH
243,A1RQPPDWIFKZL6
244,AB6C1SZWVNQCC
245,AU7RK2T2CMUBV
246,A1JFWONSSK3A65
247,A2U5MRUCJFEPU1
248,A1VMUIO5SF1XQF
249,A10T8U0DY2YBDI
250,A1FWV7TMK2UKHD
251,A1X8HN7RX95X4
252,A3ABJN1IL7UCZ8
253,ASPRULQHB8B1F
254,A3PBSBZ0X1O5OR
255,A2EM1ZD66MG037
256,A1T1B8WUBU4KY9
257,A1HSHK6YKJUSL1
258,A2S70WW1VAPKK8
259,ADEWH7JDJZY46
260,A3VE5OH94HYHET
261,A3S0INU046UTYK
262,A3G22S6DX0SW20
263,AOWW3URQNRJ6U
264,A39ZQZ2T5Z7JSB
265,A1D4Z17JF8TE4Y
266,A2F8EQZXP84OK1
267,A2CKYCHQGXUI10
268,A1KFIQBETMB81I
269,A2U83S62P8SZ6T
270,A2L3D3KO0A434Y
271,AEF601SQFOSBL
272,A2YM5Y8MHXJTOM
273,A3QHWVCV1E8QAF
274,A3APZJS2EMZBAY
(274 rows)
